"@timestamp",message,hostname
"Aug 13, 2025 @ 15:49:37.436","Skipping BG18073 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.437","Sending kick request...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.438","{""message_type"": ""ftl_kick_request"", ""event_time"": 1755114577.4377298, ""autoshuttle_name"": ""RPS00"", ""shuttle_name"": ""shuttleB"", ""region_name"": ""R2"", ""chute_number"": 12, ""box_identifier"": ""BG18007"", ""overfull_mitigation"": false}","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.438","reason for wakeup: shuttleB position update (not home)","pickapp-5bd5475c6c-lnkn6"
"Aug 13, 2025 @ 15:49:37.439","Waiting for next wakeup from reducer or completion of one of outstanding actions: ['monitor place into shuttleB', 'monitor place into shuttleA', 'ready_index_when_clear zone 0']","pickapp-5bd5475c6c-lnkn6"
"Aug 13, 2025 @ 15:49:37.439","Setting shuttle ConveyorB to idle = False","pickapp-5bd5475c6c-lnkn6"
"Aug 13, 2025 @ 15:49:37.440","Setting shuttle ConveyorA to idle = False","pickapp-5bd5475c6c-lnkn6"
"Aug 13, 2025 @ 15:49:37.447","reason for wakeup: ftl_kick_request","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.448","Waiting for next wakeup from reducer or completion of one of outstanding actions: [<MergeActionName.AWAIT_MERGE_ITEMS: 'await merge items'>]","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.449","reason for wakeup: ftl_kick_request","transport-b-r1-79d56d7d68-cqjn8"
"Aug 13, 2025 @ 15:49:37.449","Skipping BG18073 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.449","Waiting for next wakeup from reducer or completion of one of outstanding actions: [<MergeActionName.AWAIT_MERGE_ITEMS: 'await merge items'>]","transport-b-r1-79d56d7d68-cqjn8"
"Aug 13, 2025 @ 15:49:37.449","Skipping BG18007 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.450","Skipping BG18007 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.450","Performing task:  FtlTask(priority=<FtlTaskPriority.HIGH: 1>, task_type=<FtlTaskType.KICK: 'kick'>, transaction_id=None, kwargs={'side': 'R2', 'location': 12, 'box_id': 'BG18007', 'overfull_mitigation': False}), <breakpack_common.supervision.shuttle.shuttle_supervision_reducer.ShuttleSupervisionReducer object at 0x7fdf49fb1d20>...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.450","Skipping BG18073 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.451","Waiting for kick response...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.451","Setting shuttle safe mode:  False...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.451","{""message_type"": ""transport_prekick_request"", ""event_time"": 1755114577.4518695, ""shuttle_name"": ""shuttleB"", ""region_name"": ""R2"", ""chute_nbr"": 12}","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.451","Setting motor safe mode:  False...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.451","Sending kick request... Done!","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.461","Processing pre_kick","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.461","reason for wakeup: prekick_requested","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.461","Performing prekick actions for chute 12","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.461","Waiting for next wakeup from reducer or completion of one of outstanding actions: [<MergeActionName.AWAIT_MERGE_ITEMS: 'await merge items'>, 'handle_prekick_request']","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.462","{""message_type"": ""transport_prekick_complete"", ""event_time"": 1755114577.4621062, ""shuttle_name"": ""shuttleB"", ""region_name"": ""R2"", ""chute_nbr"": 12, ""transport_queuing_required"": false}","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.463","Skipping BG18073 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.463","Skipping BG18007 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
